Track,Race,RaceDate,Time,Gait,Purse,TCR,FieldStrength,FieldSize,Below2.0_Count,Below3.0_Count,Below5.0_Count,Cluster_2.5to6_Count,Odds_SD,Top5_Range,Odds_Range,RaceType,CompetitiveClusterFlag,FavOdds,FavPostRTG_Fast,DominancePenalty,CompetitivenessIndex,LikelySecond_PP,LikelySecond_Horse,LikelySecondScore_Top,LikelySecondMatrix_Top3,Exacta,Exacta_12,Exacta_123,Exacta_Top4,Exacta_Top5,Exacta_Top6
NFLD,1,2026-03-07,6:00 AM,PACE,10200.0,73.0,140.88888888888889,9,0,0,1,1,39.173,14.415,90.76,Wide Open,False,4.351,3.0,0.0,33.0,2,Whisky N Sunshine,5.0,2(5); 1(3); 9(2),"4,9,5,1,7",,,"4,9,5,1","4,9,5,1,7","4,9,5,1,7,6"
NFLD,10,2026-03-07,9:18 AM,PACE,12800.0,83.0,162.11111111111111,9,0,1,3,3,20.432,11.515,58.485,Wide Open,True,2.989,3.0,0.0,67.0,2,Premier Fine Wine,6.0,2(6); 5(5); 4(4),"3,5,1,8,9",,,"3,5,1,8","3,5,1,8,9","3,5,1,8,9,7"
NFLD,11,2026-03-07,9:40 AM,PACE,11500.0,77.0,149.125,8,0,0,2,3,29.103,23.101,91.128,Wide Open,True,3.983,3.0,0.0,58.0,2,Modern Q,4.0,2(4); 7(2); 6(2),"3,7,6,5,1",,,"3,7,6,5","3,7,6,5,1","3,7,6,5,1,4"
NFLD,12,2026-03-07,10:02 AM,PACE,5800.0,75.0,146.22222222222223,9,0,1,2,3,29.974,17.363,92.494,Wide Open,True,2.617,3.0,0.0,62.0,5,Mystical View,5.0,5(5); 3(3); 4(3),"1,5,3,4,2",,,"1,5,3,4","1,5,3,4,2","1,5,3,4,2,8"
NFLD,13,2026-03-07,10:24 AM,PACE,19500.0,85.0,164.77777777777777,9,1,1,3,2,7.102,9.007,20.444,Wide Open,False,1.794,-1.0,5.15,49.8,4,Track'N Field,5.0,4(5); 3(5); 1(4),"8,6,4,7,2",,,"8,6,4,7","8,6,4,7,2","8,6,4,7,2,3"
NFLD,14,2026-03-07,10:46 AM,PACE,5300.0,75.0,142.33333333333331,9,0,0,0,2,28.343,26.459,89.983,Wide Open,False,5.128,3.0,0.0,40.0,3,Tobins Secret,4.0,3(4); 4(4); 5(3),"2,3,1,8,4",,,"2,3,1,8","2,3,1,8,4","2,3,1,8,4,6"
NFLD,2,2026-03-07,6:22 AM,PACE,11500.0,76.0,147.5,8,0,0,2,3,28.662,18.873,91.746,Wide Open,True,3.365,3.0,0.0,58.0,1,Jm'S Determination,5.0,1(5); 2(3); 4(3),"3,2,6,5,7",,,"3,2,6,5","3,2,6,5,7","3,2,6,5,7,4"
NFLD,3,2026-03-07,6:44 AM,PACE,6800.0,78.0,150.11111111111111,9,0,0,1,2,28.881,21.168,90.311,Wide Open,False,4.799,3.0,0.0,45.0,2,Joyful Lady,3.0,2(3); 3(3); 5(2),"4,6,2,3,8",,,"4,6,2,3","4,6,2,3,8","4,6,2,3,8,5"
NFLD,4,2026-03-07,7:06 AM,PACE,8400.0,77.0,151.11111111111111,9,1,1,2,1,35.314,10.239,93.517,Chalk,False,1.594,3.0,18.28,19.7,4,Corona Era,5.0,4(5); 2(3); 3(3),"5,2,8,9,4",,,"5,2,8,9","5,2,8,9,4","5,2,8,9,4,6"
NFLD,5,2026-03-07,7:28 AM,PACE,8600.0,61.0,121.0,9,0,1,2,1,26.506,20.271,92.834,Wide Open,False,2.277,3.0,0.0,38.0,1,Newswriter,4.0,1(4); 4(4); 2(3),"5,3,1,2,4",,,"5,3,1,2","5,3,1,2,4","5,3,1,2,4,8"
NFLD,6,2026-03-07,7:50 AM,PACE,10600.0,83.0,161.14285714285714,7,0,0,1,1,32.224,12.938,90.863,Chalk,False,4.248,3.0,0.0,25.0,3,Always Ana Hanover,4.0,3(4); 2(4); 4(3),"5,3,6,2,4",,,"5,3,6,2","5,3,6,2,4","5,3,6,2,4,1"
NFLD,7,2026-03-07,8:12 AM,PACE,5300.0,73.0,143.77777777777777,9,0,1,1,0,20.96,30.705,60.963,Chalk,False,2.419,3.0,0.0,21.0,1,Jumping Jillybean,4.0,1(4); 3(4); 5(4),"2,1,3,9,7",,,"2,1,3,9","2,1,3,9,7","2,1,3,9,7,8"
NFLD,8,2026-03-07,8:34 AM,PACE,8600.0,65.0,123.22222222222224,9,0,0,1,2,35.495,4.278,90.712,Wide Open,False,4.399,-1.0,0.0,45.0,5,Kid'S Silly Filly,3.0,5(3); 2(3); 4(3),"6,1,7,5,9",,,"6,1,7,5","6,1,7,5,9","6,1,7,5,9,2"
NFLD,9,2026-03-07,8:56 AM,PACE,6800.0,78.0,151.11111111111111,9,0,0,1,1,17.195,6.502,56.69,Wide Open,False,4.299,3.0,0.0,33.0,4,Big Bad Bee,4.0,4(4); 5(4); 2(2),"3,9,2,8,1",,,"3,9,2,8","3,9,2,8,1","3,9,2,8,1,7"
