RaceDate,SourceFile,Track,Race,Horse,PP,FormString,LayoffFlag
2025-11-22,HarnessSuite_2_6_FULL.csv,CUMB,7,Dreamfair Fantasy,6,44?41627-32,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CUMB,8,Race Me Maverick,2,162559X65X77,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CUMB,9,Inquiring Mind,1,431-323-21X84,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CUMB,9,Inquiring Mind,1,431-323-21X84,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CUMB,9,Empereurthebest Fr,6,47?583216-7,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CUMB,9,Brutalizer,7,7423313-1-22,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CUMB,9,Big Al M,8,313-11-748-61,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CUMB,9,Big Al M,8,313-11-748-61,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CUMB,11,Hide The Wick,7,555383217-7,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,1,Fulton,5,7-535223-5-74,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,2,Cruisin Artie,1,66342933-3-2,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,2,Beau'S Best,2,421-4?214-85,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,2,Louie Hanover,4,15599294-1X5,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,2,Whiskeyontherocks,6,324-453544-8,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,2,Ideal Funding N,7,4-102-913299-3,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,2,Key Advisor,8,433353673-4,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,2,Jk'S On The Move,9,12438?X6107-9,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,3,Jr On The Beach,2,3-72-6-2-419-25,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,3,Martz Telly,3,4X10-73-334-71-2,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,3,Telstar,5,4-717-5X52-93-6,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,3,Cc Official,6,33-6859?89-9,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,3,Mister Spot A,8,71810-921-4-94,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,3,Arrhythmic Surge,9,7-8810-2-1?3-5-5,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,5,Captain Albert G,1,158287767-5,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,DTN,5,Studio Hanover,2,6361786-68-2,2UP
