Track,Race,RaceDate,Time,Gait,Purse,TCR,FieldStrength,FieldSize,Below2.0_Count,Below3.0_Count,Below5.0_Count,Cluster_2.5to6_Count,Odds_SD,Top5_Range,Odds_Range,RaceType,CompetitiveClusterFlag,FavOdds,FavPostRTG_Fast,DominancePenalty,CompetitivenessIndex,LikelySecond_PP,LikelySecond_Horse,LikelySecondScore_Top,LikelySecondMatrix_Top3,Exacta,Exacta_12,Exacta_123,Exacta_Top4,Exacta_Top5,Exacta_Top6
M,13,2025-11-22,11:20 AM,PACE,8000.0,77.0,150.5,10,0,0,0,2,33.782,13.224,89.174,Wide Open,False,5.937,-1.0,0.0,44.0,5,Mississippi Rabbit,5.0,5(5); 1(4); 3(4),"9,10,1,7,8",,,"9,10,1,7","9,10,1,7,8","9,10,1,7,8,4"
M,14,2025-11-22,11:45 AM,PACE,8500.0,74.0,144.5,10,0,0,2,3,33.494,7.976,91.042,Wide Open,True,4.068,2.0,0.0,66.0,2,Captain Carter,5.0,2(5); 4(3); 5(3),"6,8,2,4,5",,,"6,8,2,4","6,8,2,4,5","6,8,2,4,5,1"
M,2,2025-11-22,6:45 AM,PACE,9000.0,77.0,149.5,10,0,0,0,1,13.748,12.955,50.162,Wide Open,False,5.811,0.0,0.0,32.0,3,Fredneck,5.0,3(5); 2(3); 1(3),"8,2,1,9,10",,,"8,2,1,9","8,2,1,9,10","8,2,1,9,10,5"
M,3,2025-11-22,7:10 AM,TROT,60000.0,76.0,139.71428571428572,7,0,0,3,3,21.715,24.016,60.315,Wide Open,True,3.068,1.0,0.0,59.0,4,Wishuponastar Deo,5.0,4(5); 3(5); 6(5),"1,4,2,5,3",,,"1,4,2,5","1,4,2,5,3","1,4,2,5,3,6"
M,4,2025-11-22,7:35 AM,PACE,10500.0,85.0,166.7,10,0,0,1,1,33.145,10.731,91.401,Wide Open,False,3.71,2.0,0.0,37.0,5,Bobcat Bay,5.0,5(5); 4(4); 2(2),"6,2,5,7,1",,,"6,2,5,7","6,2,5,7,1","6,2,5,7,1,8"
M,5,2025-11-22,8:00 AM,TROT,60000.0,77.0,143.85714285714283,7,1,2,2,1,22.049,20.551,61.385,Chalk,False,1.998,1.0,0.06,29.9,2,Trillion Times,4.0,2(4); 3(4); 5(4),"4,7,1,2,3",,,"4,7,1,2","4,7,1,2,3","4,7,1,2,3,5"
M,6,2025-11-22,8:25 AM,PACE,14500.0,81.0,157.88888888888889,10,1,1,1,0,28.025,11.713,93.505,Chalk,False,1.605,-1.0,9.87,15.1,5,Lou'Sbodaciousboy,5.0,5(5); 6(4); 2(4),"9,6,4,1,10",,,"9,6,4,1","9,6,4,1,10","9,6,4,1,10,2"
M,7,2025-11-22,8:50 AM,PACE,17500.0,90.0,174.11111111111111,9,0,1,3,3,6.858,8.92,21.705,Wide Open,True,2.913,-1.0,0.0,67.0,5,Mac'S Delight,6.0,5(6); 2(4); 6(3),"9,6,5,2,8",,,"9,6,5,2","9,6,5,2,8","9,6,5,2,8,7"
M,8,2025-11-22,9:15 AM,PACE,12500.0,86.0,168.60000000000002,10,0,0,1,1,22.389,5.014,59.35,Wide Open,False,4.032,0.0,0.0,37.0,2,Avenger Force,5.0,2(5); 3(5); 1(5),"8,4,9,5,2",,,"8,4,9,5","8,4,9,5,2","8,4,9,5,2,7"
M,9,2025-11-22,9:40 AM,PACE,60000.0,75.0,142.88888888888889,9,1,3,3,2,35.969,16.049,93.281,Wide Open,False,1.83,2.0,7.66,47.3,5,Darn It,5.0,5(5); 3(2); 9(2),"6,8,1,3,9",,,"6,8,1,3","6,8,1,3,9","6,8,1,3,9,4"
